vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2018-09-07 20:51:26,2018-09-07 20:56:50,1,0.52,1,N,229,140,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8,0.0,0.0
2,2018-03-09 21:15:36,2018-03-09 21:21:07,1,0.46,1,N,113,113,1,5.0,0.5,0.5,0.94,0.0,0.3,7.24,0.0,0.0
1,2018-10-11 07:31:42,2018-10-11 07:49:28,1,2.4,1,N,48,141,1,13.0,0.0,0.5,1.5,0.0,0.3,15.3,0.0,0.0
1,2018-01-23 15:17:23,2018-01-23 15:21:50,1,0.7,1,N,107,79,1,5.0,0.0,0.5,1.15,0.0,0.3,6.95,0.0,0.0
2,2018-04-20 19:47:49,2018-04-20 19:52:58,1,0.64,1,N,79,107,1,5.0,1.0,0.5,1.7,0.0,0.3,8.5,0.0,0.0
1,2018-02-27 12:44:04,2018-02-27 12:54:19,1,1.5,1,N,75,237,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8,0.0,0.0
2,2018-06-01 08:02:16,2018-06-01 08:25:30,1,3.86,1,N,13,234,1,17.5,0.0,0.5,3.66,0.0,0.3,21.96,0.0,0.0
1,2018-02-14 15:39:52,2018-02-14 16:35:22,0,18.3,2,N,132,113,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0,0.0,0.0
2,2018-05-19 15:53:12,2018-05-19 16:21:01,2,2.08,1,N,79,90,1,18.0,0.0,0.5,3.76,0.0,0.3,22.56,0.0,0.0
2,2018-04-17 21:43:08,2018-04-17 22:01:12,1,3.76,1,N,186,13,1,15.5,0.5,0.5,5.04,0.0,0.3,21.84,0.0,0.0
2,2018-07-08 22:45:34,2018-07-08 22:48:32,1,0.73,1,N,68,48,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25,0.0,0.0
2,2018-04-15 15:45:45,2018-04-15 15:55:41,6,1.62,1,N,48,161,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16,0.0,0.0
1,2018-01-26 14:57:31,2018-01-26 15:23:56,3,3.2,1,N,211,261,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8,0.0,0.0
2,2018-01-27 01:56:34,2018-01-27 02:07:25,2,2.28,1,N,163,107,1,10.0,0.5,0.5,0.0,0.0,0.3,11.3,0.0,0.0
1,2018-01-30 06:56:40,2018-01-30 08:23:17,1,19.2,2,N,132,142,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,0.0,0.0
2,2018-04-26 10:22:54,2018-04-26 10:48:04,5,4.09,1,N,143,74,2,18.5,0.0,0.5,0.0,0.0,0.3,19.3,0.0,0.0
2,2018-03-05 13:06:28,2018-03-05 13:23:40,1,3.27,1,N,50,125,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3,0.0,0.0
2,2018-05-02 15:17:15,2018-05-02 15:20:51,1,0.9,1,N,7,146,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8,0.0,0.0
1,2018-10-17 18:01:17,2018-10-17 18:12:08,1,1.0,1,N,238,142,1,8.5,1.0,0.5,3.05,0.0,0.3,13.35,0.0,0.0
1,2018-10-15 22:37:49,2018-10-15 22:53:12,1,3.4,1,N,107,143,1,13.5,0.5,0.5,1.5,0.0,0.3,16.3,0.0,0.0
1,2018-05-18 13:07:39,2018-05-18 13:20:58,2,1.9,1,N,237,238,1,10.5,0.0,0.5,2.25,0.0,0.3,13.55,0.0,0.0
2,2018-11-03 00:39:20,2018-11-03 00:47:27,1,3.24,1,N,263,233,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,0.0,0.0
1,2018-02-15 17:03:31,2018-02-15 17:10:20,2,1.1,1,N,239,238,1,6.5,1.0,0.5,1.66,0.0,0.3,9.96,0.0,0.0
1,2018-02-13 07:17:04,2018-02-13 07:33:50,1,8.1,1,N,262,231,1,24.5,0.0,0.5,4.7,0.0,0.3,30.0,0.0,0.0
2,2018-05-30 21:03:50,2018-05-30 21:18:22,1,4.57,1,N,79,263,1,15.0,0.5,0.5,4.08,0.0,0.3,20.38,0.0,0.0
2,2018-11-29 18:30:34,2018-11-29 18:47:39,1,1.86,1,N,140,142,1,11.5,1.0,0.5,2.66,0.0,0.3,15.96,0.0,0.0
2,2018-08-07 17:29:26,2018-08-07 17:33:38,2,0.52,1,N,151,151,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3,0.0,0.0
2,2018-11-04 14:05:25,2018-11-04 14:13:49,3,0.94,1,N,48,186,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0.0,0.0
1,2018-04-28 08:11:23,2018-04-28 08:23:31,1,3.7,1,N,24,48,1,13.5,0.0,0.5,2.85,0.0,0.3,17.15,0.0,0.0
2,2018-10-18 13:51:11,2018-10-18 14:07:42,1,1.68,1,N,263,239,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76,0.0,0.0
1,2018-11-18 16:42:11,2018-11-18 17:08:03,1,4.4,1,N,181,35,1,19.5,0.0,0.5,3.05,0.0,0.3,23.35,0.0,0.0
2,2018-01-28 23:54:49,2018-01-29 00:23:52,1,17.82,2,N,132,163,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,0.0,0.0
1,2018-12-18 16:50:51,2018-12-18 17:02:04,1,1.3,1,N,234,161,1,8.5,1.0,0.5,2.05,0.0,0.3,12.35,0.0,0.0
2,2018-11-21 15:32:13,2018-11-21 16:06:36,2,0.87,1,N,237,100,1,14.0,0.0,0.5,1.0,0.0,0.3,15.8,0.0,0.0
1,2018-05-18 11:17:15,2018-05-18 11:21:51,1,0.7,1,N,141,236,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96,0.0,0.0
1,2018-08-11 18:00:35,2018-08-11 18:02:54,1,0.4,1,N,239,143,1,4.0,0.0,0.5,1.4,0.0,0.3,6.2,0.0,0.0
1,2018-06-16 13:12:37,2018-06-16 13:20:21,0,1.1,1,N,233,107,1,7.0,0.0,0.5,3.0,0.0,0.3,10.8,0.0,0.0
1,2018-08-22 13:22:42,2018-08-22 13:34:13,1,1.1,1,N,162,229,1,8.5,0.0,0.5,2.0,0.0,0.3,11.3,0.0,0.0
1,2018-08-02 08:00:14,2018-08-02 08:22:31,1,5.1,1,N,162,261,2,20.5,0.0,0.5,0.0,0.0,0.3,21.3,0.0,0.0
1,2018-06-08 21:43:39,2018-06-08 21:59:56,1,3.4,1,N,263,41,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,0.0,0.0
1,2018-05-03 01:36:28,2018-05-03 01:42:52,1,0.9,1,N,79,113,1,5.5,0.5,0.5,1.5,0.0,0.3,8.3,0.0,0.0
2,2018-01-18 22:18:37,2018-01-18 22:22:02,1,0.89,1,N,186,162,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,0.0,0.0
2,2018-06-24 11:54:19,2018-06-24 12:06:12,1,1.67,1,N,162,246,1,9.5,0.0,0.5,2.06,0.0,0.3,12.36,0.0,0.0
2,2018-12-05 20:49:30,2018-12-05 21:07:42,4,4.48,1,N,140,246,1,17.0,0.5,0.5,3.66,0.0,0.3,21.96,0.0,0.0
2,2018-11-03 00:50:42,2018-11-03 01:08:33,1,3.85,1,N,231,170,1,15.0,0.5,0.5,3.26,0.0,0.3,19.56,0.0,0.0
1,2018-09-20 12:02:15,2018-09-20 12:09:24,1,1.2,1,Y,231,249,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35,0.0,0.0
1,2018-03-19 18:06:48,2018-03-19 18:21:08,1,2.0,1,N,142,229,2,11.0,1.0,0.5,0.0,0.0,0.3,12.8,0.0,0.0
1,2018-05-16 18:44:34,2018-05-16 19:00:34,1,2.6,1,N,43,142,1,12.5,1.0,0.5,2.85,0.0,0.3,17.15,0.0,0.0
2,2018-09-21 01:36:58,2018-09-21 01:42:02,5,1.41,1,N,234,233,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,0.0,0.0
2,2018-11-10 13:28:08,2018-11-10 13:34:07,1,1.08,1,N,237,262,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76,0.0,0.0
2,2018-12-12 17:37:51,2018-12-12 18:00:47,1,0.7,1,N,237,237,2,13.5,1.0,0.5,0.0,0.0,0.3,15.3,0.0,0.0
2,2018-05-15 19:02:31,2018-05-15 19:18:39,1,2.43,1,N,237,146,1,13.0,1.0,0.5,1.0,0.0,0.3,15.8,0.0,0.0
2,2018-08-07 07:19:46,2018-08-07 07:34:21,5,2.8,1,N,249,162,1,12.0,0.0,0.5,2.56,0.0,0.3,15.36,0.0,0.0
2,2018-04-27 07:19:50,2018-04-27 07:22:14,2,0.34,1,N,79,114,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3,0.0,0.0
2,2018-02-09 20:56:25,2018-02-09 21:01:53,1,0.73,1,N,262,236,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5,0.0,0.0
1,2018-06-30 11:07:00,2018-06-30 11:07:21,1,0.1,1,N,141,141,3,2.5,0.0,0.5,0.0,0.0,0.3,3.3,0.0,0.0
1,2018-05-16 03:14:39,2018-05-16 03:32:18,1,5.6,1,N,90,143,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15,0.0,0.0
1,2018-02-03 17:49:40,2018-02-03 18:00:09,1,2.1,1,N,263,143,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,0.0,0.0
2,2018-09-07 14:17:51,2018-09-07 14:20:56,1,0.41,1,N,239,238,1,4.0,0.0,0.5,0.96,0.0,0.3,5.76,0.0,0.0
2,2018-01-19 19:25:55,2018-01-19 19:32:03,1,1.22,1,N,263,237,1,6.5,1.0,0.5,1.66,0.0,0.3,9.96,0.0,0.0
2,2018-01-27 21:34:17,2018-01-27 21:47:35,2,2.1,1,N,226,179,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,0.0,0.0
2,2018-09-30 18:06:48,2018-09-30 18:09:56,1,0.55,1,N,238,238,1,4.0,0.0,0.5,0.96,0.0,0.3,5.76,0.0,0.0
